                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83277,                 1.2616,                 1.3302,                0.74628,                0.68285,                0.73433,                0.54487,                 1.2512,                 1.2706,                 1.7751,              0.0033298,              0.0033298,              0.0033298
                      2,                0.79871,                0.86086,                 1.2729,                0.81705,                0.65305,                0.72988,                0.53568,                  1.405,                 1.4761,                 1.8798,              0.0065312,              0.0065312,              0.0065312
                      3,                0.89316,                0.94157,                 1.3282,                0.62747,                0.49745,                0.55573,                0.37576,                 1.5838,                 1.9541,                 2.1046,              0.0096006,              0.0096006,              0.0096006
                      4,                0.93513,                0.97448,                 1.3465,                0.82229,                0.63737,                0.73704,                0.52922,                 1.3792,                 1.2738,                 1.8634,               0.009406,               0.009406,               0.009406
                      5,                0.88866,                0.89193,                 1.3145,                0.80976,                0.64521,                0.70988,                0.52804,                 1.3407,                 1.4718,                 1.8458,               0.009406,               0.009406,               0.009406
                      6,                0.84303,                0.83106,                 1.2783,                0.83984,                0.67028,                0.75623,                0.56442,                  1.317,                 1.2333,                 1.8105,               0.009208,               0.009208,               0.009208
                      7,                0.80937,                0.79065,                 1.2582,                0.83992,                0.65723,                0.71541,                0.54414,                  1.566,                 1.3077,                 2.0643,                0.00901,                0.00901,                0.00901
                      8,                0.79384,                0.76844,                  1.246,                0.86266,                0.67876,                0.77582,                0.60238,                 1.2382,                 1.2238,                 1.7366,               0.008812,               0.008812,               0.008812
                      9,                0.76924,                0.73882,                 1.2291,                0.80385,                0.71796,                0.79936,                0.60492,                  1.253,                  1.056,                 1.7207,               0.008614,               0.008614,               0.008614
                     10,                0.75844,                0.72055,                 1.2205,                0.86246,                 0.6873,                0.77657,                0.59958,                 1.3184,                 1.1104,                 1.7915,               0.008416,               0.008416,               0.008416
                     11,                 0.7407,                0.70111,                 1.2108,                0.87464,                0.67297,                0.77562,                 0.6072,                 1.3065,                 1.1597,                 1.7528,               0.008218,               0.008218,               0.008218
                     12,                0.72627,                 0.6818,                 1.1992,                 0.8489,                0.68991,                0.78835,                0.61069,                 1.2026,                  1.077,                 1.6444,                0.00802,                0.00802,                0.00802
                     13,                0.71647,                  0.667,                  1.194,                0.82839,                0.71075,                0.79808,                0.62046,                 1.2639,                  1.058,                 1.7356,               0.007822,               0.007822,               0.007822
                     14,                0.70585,                0.65971,                 1.1855,                0.88012,                0.68316,                0.78765,                0.62195,                 1.2914,                 1.1171,                 1.7657,               0.007624,               0.007624,               0.007624
                     15,                0.70087,                0.64752,                 1.1833,                0.86278,                 0.6844,                0.78735,                0.62613,                 1.2627,                 1.0621,                  1.727,               0.007426,               0.007426,               0.007426
                     16,                0.68671,                0.63243,                 1.1712,                0.79392,                0.75027,                 0.8165,                0.64013,                 1.1591,                 1.0118,                 1.6031,               0.007228,               0.007228,               0.007228
                     17,                0.67554,                0.62246,                 1.1639,                0.82186,                0.72441,                0.79186,                0.62867,                 1.3258,                 1.0718,                 1.7815,                0.00703,                0.00703,                0.00703
                     18,                0.67157,                0.60588,                 1.1619,                0.84721,                0.70703,                0.80186,                0.63311,                 1.2809,                 1.0304,                 1.7337,               0.006832,               0.006832,               0.006832
                     19,                0.66201,                0.59826,                 1.1536,                0.84176,                0.71393,                0.79555,                0.63093,                   1.25,                 1.0399,                 1.7004,               0.006634,               0.006634,               0.006634
                     20,                 0.6535,                0.58924,                 1.1497,                0.84714,                0.70234,                0.79144,                0.63107,                 1.2884,                 1.1052,                 1.7298,               0.006436,               0.006436,               0.006436
                     21,                0.64934,                0.58059,                 1.1466,                0.83445,                0.72678,                0.80666,                0.63927,                 1.2209,                 1.0047,                 1.6639,               0.006238,               0.006238,               0.006238
                     22,                0.64361,                 0.5674,                  1.141,                0.80963,                0.74158,                0.79972,                0.63639,                 1.3193,                 1.0011,                 1.7786,                0.00604,                0.00604,                0.00604
                     23,                0.63427,                0.56178,                 1.1391,                  0.831,                0.72428,                0.79721,                 0.6354,                 1.3042,                 1.0008,                 1.7581,               0.005842,               0.005842,               0.005842
                     24,                 0.6305,                0.55653,                 1.1341,                0.83288,                0.72896,                 0.8033,                0.63629,                 1.2793,                0.98431,                 1.7099,               0.005644,               0.005644,               0.005644
                     25,                 0.6246,                0.54158,                 1.1288,                0.81659,                 0.7431,                0.80299,                0.63709,                 1.2885,                0.97408,                 1.7299,               0.005446,               0.005446,               0.005446
                     26,                0.61703,                0.53702,                 1.1261,                0.80504,                0.75659,                0.81009,                0.64043,                  1.263,                0.92985,                 1.6964,               0.005248,               0.005248,               0.005248
